"source_id","source_domain","source_dispute","source_003_verdict","source_003_status","source_reference","disposition","final_finding","reason","correction_ids","research_status","implementation_status","authoritative_destination","supporting_evidence","as_of_date"
"C-04","corpus_composition","Do 39 second-reader disagreements prove 39 original errors?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:16","ACCEPTED","There are 39/72 exact and 27/72 collapsed label disagreements, not 39 proven errors. Twelve remain within one broad class; nine of 13 supported-to-adverse changes substantially reflect severity choices.","No second-reader percentage replaces the original with a calibrated truth probability.","F14","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R5_review_of_review.md; source 003 locator: second_reader_comparison.md","2026-09-20"
"C-05","corpus_composition","Did the original contaminate the second reader's blinding?","ORIGINAL_CAUSED_EFFECT_OPPOSITE_TO_EXPECTED","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:17","MODIFIED","Prior evaluative material was available to the label-blind reader. The 26 of 72 heuristically flagged rows have lower observed agreement than the other 46; this does not estimate contamination's causal effect or prove its immateriality.","Whole-video date tags and keywords do not produce a randomized unexposed control; all readers could see global guidance.","F01","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/evidence/reconciliation_notes.md","research/macro/review/consolidation/evidence/R5_review_of_review.md; source 003 locator: R5 item 1","2026-09-20"
"C-06","corpus_composition","Are the review's prediction HITs independent of the original's judgments?","REVIEW_DEFECT_UNDISCLOSED","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:18","MODIFIED","The sealed prediction lock was 35 UNSCORABLE,15 PENDING,8 CANNOT_VERIFY and 2 MISS. Five documented primary-source amendments yielded 35 UNSCORABLE,11 PENDING,7 CANNOT_VERIFY,4 HIT and 3 MISS. Two HITs match explicit scaffold verdicts; the Warsh hold shares chronology.","Correct the source ledger's wrong lock labels and overcount of explicit pre-supplied HITs. Exposure weakens independence but does not automatically invalidate dated official outcomes.","F02","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/evidence/reconciliation_notes.md","research/macro/review/consolidation/evidence/R5_review_of_review.md; source 003 locator: R5 item 1(d)","2026-09-20"
"C-07","corpus_composition","Are there concrete verification defects in the original packages, distinct from severity disagreements?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:19","MODIFIED","Retain six concrete proposition, scope, benchmark and timing defects. Apply video-date availability to factual claims and the declared later horizon to forecast outcomes.","The proposed blanket ban on later outcomes is invalid for prediction evaluation; different evidence tasks need different timing rules.","WD-17;F10","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R5_review_of_review.md; source 003 locator: second_reader_comparison.md ss43-53","2026-09-20"
"C-08","corpus_composition","Where should the second reader NOT be preferred?","REVIEW_CORRECT_SELF_LIMITING","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:20","ACCEPTED","Do not overturn a sound original calculation solely because the second reader lacked its benchmark or could not reproduce it. Utilities, the earnings proxy and diesel require common definitions and source access.","Unresolved replication and demonstrated falsity are different outcomes.","F14","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R5_review_of_review.md; source 003 locator: second_reader_comparison.md s57-63","2026-09-20"
"C-09","corpus_composition","How is the corpus selected, and is the paywall the only selection mechanism?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:21","ACCEPTED","All commentator comparisons concern captured public material. The 58 transcripts exclude 50 uncaptured public catalog entries and 35 Jikh paid videos; missingness may affect specificity, corrections and implementation in unknown directions.","Neither a public-sample ranking nor inferred paid-content performance is identified.","WD-03;F13","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R5_review_of_review.md; source 003 locator: PHASE_A s17; composition_and_unverifiable.md s48-52","2026-09-20"
"P-01","predictions","Did a 2.4% inflation baseline ever print?","ORIGINAL_WRONG","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:22","ACCEPTED","Headline CPI printed 2.391% in January 2026 and 2.434% in February, both rounding to 2.4%. The original accusation is withdrawn.","Core CPI is a different series and must not be silently substituted.","WD-06","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R3 (i); R6 Task 3","2026-09-20"
"P-02","predictions","Is V7's supporting detail 'Aug-2024 = 2.43%' correct?","NEITHER_STUDY_FOUND_ORIGINAL_DEFECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:23","ACCEPTED","August 2024 headline CPI is 2.607%; the 2.426% observation belongs to September 2024.","Correct an independent one-month supporting-detail error.","WD-07","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R3 (i)","2026-09-20"
"P-03","predictions","Was buy-and-hold presented as a null forecaster or as an opportunity-cost illustration?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:24","ACCEPTED","The original scorecard explicitly framed buy-and-hold as a rival forecaster on the same objects and windows. That framing is not supported by its implementation.","A later opportunity-cost interpretation cannot repair the original paired-null claim.","WD-08","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R3_prediction_scoring.md; source 003 locator: R3 (ii)","2026-09-20"
"P-04","predictions","What does a correctly paired always-up null actually score?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:25","MODIFIED","Retire 98.6% as a matched forecaster benchmark. The 003 row-object always-up tally is 36/69=52.2%, but sixteen rows lack mapped series and must remain visible in coverage and sensitivity reporting.","Numerator, denominator, object and scoring eligibility must be matched before inferring an edge.","WD-08","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R3_prediction_scoring.md; source 003 locator: R3 (ii)","2026-09-20"
"P-05","predictions","Are the NO CHANGE and PERSISTENCE null benchmarks correctly computed?","ORIGINAL_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:26","MODIFIED","The original no-change and persistence calculations reproduce under their positional-CPI branch. Their corrected calendar-CPI counterparts in P-09 supersede those particular benchmark values.","Reproducibility of a historical branch does not make a known defective input canonical.","","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R3_prediction_scoring.md; source 003 locator: R3 (iii)","2026-09-20"
"P-06","predictions","Why do the two studies report different prediction accuracy figures?","DEFINITIONAL_NOT_EMPIRICAL","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:27","ACCEPTED","Different prediction percentages partly reflect different denominators, horizons and tolerances. State both contracts; the BR-20260326-08 partial-versus-miss example is a rule disagreement.","Do not turn contract disagreement into a data error or compare percentages without their definitions.","F03","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R3_prediction_scoring.md; source 003 locator: R3 (iii)","2026-09-20"
"P-07","predictions","Does correcting the CPI bug change any scored verdict?","ORIGINAL_CONCLUSIONS_SURVIVE","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:28","MODIFIED","The documented nineteen-row CPI re-evaluation changes none of 293 stored verdicts under the original scoring rules. This is separate from deadline and contract corrections elsewhere in the final report.","Hardcoded literals do not test verdict sensitivity, and CPI robustness does not establish every historical score is properly matured.","DELTA-02;DELTA-04;F03","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R6 Task 1","2026-09-20"
"P-08","predictions","How robust are the surviving verdicts?","NEITHER_STUDY_FOUND","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:29","ACCEPTED","Flag BR-20260420-19,BR-20260427-24 and AJ-20260407-21 as marginal under their historical rules; their corrected evidence is substantially closer to decision boundaries.","The retained labels need visible tolerance and revision sensitivity.","DELTA-02","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R6 Task 1","2026-09-20"
"P-09","predictions","Does the CPI correction change the channels' standing against the nulls?","NEITHER_STUDY_FOUND","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:30","ACCEPTED","Use the calendar-correct original-contract null results:20.4% no-change and 38.1% persistence, with unchanged channel scores under that contract. Bravos retains a positive descriptive margin; Jikh remains below persistence.","Neither a pooled difference nor sparse subgroup comparison alone establishes forecasting skill.","DELTA-02;DELTA-04","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R6_cpi_blast_radius.md; source 003 locator: R6 Task 2","2026-09-20"
"P-10","predictions","Does score() implement the conditions its prose describes?","REVIEW_CORRECT_IMMATERIAL_TODAY","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:31","MODIFIED","The original composite score omits or changes declared conditions, although current stress is zero under either reading. The final specification uses individual indicators and explicit review actions, not a repaired investment score.","Reconcile research definitions without implementing new market-timing behavior.","DELTA-10","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/INDICATOR_CONTRACT.csv","research/macro/review/consolidation/evidence/R3_prediction_scoring.md; source 003 locator: R3 (iv)","2026-09-20"
"A-01","analogs_regime","Does the similarity screen use full-sample percentile ranks?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:32","ACCEPTED","Full-sample percentile ranks admit future observations into historical comparisons. Use prior-only expanding ranks as primary and label full-sample ranks diagnostic.","The target's latest-date rank is not the same look-ahead problem as historical candidate ranks.","DELTA-09","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/evidence/quantitative_completion.md","research/macro/review/consolidation/evidence/R4_lookahead_and_cpi_patch.md; source 003 locator: R4 A1","2026-09-20"
"A-02","analogs_regime","Was the claimed expanding-window robustness check actually performed?","ORIGINAL_UNSUPPORTED_CLAIM","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:33","MODIFIED","The original claimed expanding-window robustness check lacks a reproducible archived implementation. The reproduced alternative retains 11 of 13 episodes but only 7 exact months.","Report what the archived code supports rather than certainty about unrecorded activity; recognize Review 002's prior expanding checks.","DELTA-09;WD-09","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/evidence/quantitative_completion.md","research/macro/review/consolidation/evidence/R4_lookahead_and_cpi_patch.md; source 003 locator: R4 A2","2026-09-20"
"A-03","analogs_regime","Does the headline analog conclusion survive the look-ahead correction?","ORIGINAL_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:34","MODIFIED","Broad similarity to 2007-08 and 2021-22 survives one rank-convention correction, but similarity is descriptive and does not identify a unique investable analog set.","The final common-window comparison separates rank convention, target vector and eligibility choices.","","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/evidence/quantitative_completion.md","research/macro/review/consolidation/evidence/R4_lookahead_and_cpi_patch.md; source 003 locator: R4 A3","2026-09-20"
"A-04","analogs_regime","Is the 11-month conjunction genuinely unique in history?","ORIGINAL_WRONG","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:35","ACCEPTED","Withdraw the relaxed-screen uniqueness claim: the reproduced count is 11 months with full-sample ranks and 35 with expanding ranks, adding earlier periods.","The asserted historical rarity is convention-dependent.","DELTA-09;WD-10","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/evidence/quantitative_completion.md","research/macro/review/consolidation/evidence/R4_lookahead_and_cpi_patch.md; source 003 locator: R4 A4","2026-09-20"
"A-05","analogs_regime","Does the look-ahead problem extend beyond the screen?","BOTH_MISSED","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:36","MODIFIED","Full-sample selection also affects the original energy and rich-and-calm pools. Review 002 already computed expanding energy and calm-credit variants; final quantitative work completes the distinct joint rich-and-calm pool.","Do not call every related return analysis unperformed or treat separate components as the joint intersection.","DELTA-09;WD-14;F06","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/evidence/quantitative_completion.md","research/macro/review/consolidation/evidence/R4_lookahead_and_cpi_patch.md; source 003 locator: R4 A6","2026-09-20"
"A-06","analogs_regime","Did the original compute a difference of separate medians and present it as a paired median?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:37","ACCEPTED","The difference of separate asset medians is not the median of paired excess returns. Use matched asset-minus-benchmark returns on identical windows.","Aggregation order changes the estimated quantity.","WD-11","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R1_energy_paired_excess.md; source 003 locator: R1 sub-claim 1","2026-09-20"
"A-07","analogs_regime","What is the paired five-year energy excess return?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:38","ACCEPTED","The reproduced PPI-high sample has a five-year paired energy excess of+10.702 pp and 148/253 outperformance observations; benchmark is Mkt-RF+RF.","These 253 monthly starts overlap and must not be presented as 253 independent episodes.","WD-11","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R1_energy_paired_excess.md; source 003 locator: R1 sub-claims 2-3","2026-09-20"
"A-08","analogs_regime","Which sample does the +10.70pp figure describe?","NEITHER_STUDY_DISTINGUISHED","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:39","ACCEPTED","Distinguish the 253 overlapping PPI starts from 13 analog episodes and the mature-only or nonoverlapping subsets. Every reported excess must identify sample, benchmark, horizon and maturity.","The superficially similar energy figures describe different estimands.","WD-11","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R1_energy_paired_excess.md; source 003 locator: R1 finding 1","2026-09-20"
"A-09","analogs_regime","Was a truncated episode included in a five-year aggregate?","REVIEW_CORRECT","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:40","ACCEPTED","A 56/60-month episode contaminated the report's five-year market aggregate; the median changes 41.459% to 27.040% when omitted. Other decay code already excluded truncation.","The defect belongs to the affected aggregation path, not every five-year analysis.","DELTA-07","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_UNTIL_TOOL_DECISION","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R1_energy_paired_excess.md; source 003 locator: R1 sub-claims 4-5","2026-09-20"
"A-10","analogs_regime","Does the energy advantage decay by year five?","ORIGINAL_WRONG_CONCLUSION_PARTLY_SALVAGEABLE","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:41","MODIFIED","Cumulative energy excess does not disappear by year five. Annualized paired excess attenuates across horizons, but this does not establish a tactical trade or long-term allocation rule.","A smaller annualized rate can coexist with a larger cumulative gain; no implementation test follows from this arithmetic.","WD-11;F12","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R1_energy_paired_excess.md; source 003 locator: R1 sub-claims 6-8","2026-09-20"
"A-11","analogs_regime","Does the original's own output contradict its prose?","NEITHER_STUDY_NOTICED","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:42","ACCEPTED","The original paired share beating the market rises 53.8%,61.5%,69.2% across one, three and five years, contradicting the nearby statement that the edge is given back.","The inconsistency is observable in the original output without inventing a new result.","WD-11","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R1_energy_paired_excess.md; source 003 locator: R1 finding 2","2026-09-20"
"A-12","analogs_regime","Is the energy result robust to the benchmark?","NEITHER_STUDY_TESTED","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:43","MODIFIED","Benchmark sensitivity must hold the sample fixed. Mature analog n=12: +9.4468 pp MKT versus +2.4102 pp EW12 (50.0% beating). PPI n=253: +10.7019 pp MKT versus +6.5936 pp EW12 (52.6% beating).","The +10.70-to-+2.41 comparison in the source proposal changes both sample and benchmark and is not a pure benchmark sensitivity.","WD-15;F18","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R1_energy_paired_excess.md; source 003 locator: R1 counter-evidence (b)","2026-09-20"
"A-13","analogs_regime","What does the review's own independent screen say about energy?","CONVERGENT_AGAINST_ORIGINAL","closed","research/macro/review/consolidation/RESOLUTION_LEDGER.csv:44","MODIFIED","The independent eight-episode expanding screen does not support an energy recommendation. Do not substitute its strongest sector retrospectively as a new recommendation.","Multiple sector/horizon comparisons and selection uncertainty also apply to business equipment and health.","WD-15","APPLIED_BY_FINAL_SUPERSESSION","NO_EXISTING_SOFTWARE_CHANGE","research/macro/review/final/FINAL_RESEARCH.md","research/macro/review/consolidation/evidence/R1_energy_paired_excess.md; source 003 locator: PHASE_B_independent_regime_analysis.md s145-188","2026-09-20"
