"correction_id","source_kind","source_id","source_ledger_ids","source_reference","disposition","final_research_resolution","reason","research_status","implementation_status","authoritative_destination","as_of_date"
"DELTA-11","003_CHANGE","DELTA-11","R-02","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:499","ACCEPTED","Record the V6 builder/output mismatch and require reproducible evidence-to-verdict provenance in any later tool.","Preserving the historical inconsistency is part of the audit record; changing the builder now would not prove how the old output was produced.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/evidence/reconciliation_notes.md","2026-09-20"
"DELTA-12","003_CHANGE","DELTA-12","V-06","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1077","ACCEPTED","Require equal prominence for sample size, uncertainty, false alarms, event definition and dependence in any future display.","The present UI hides material limitations behind a collapsed section; the design requirement is adopted but no interface is changed.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"DELTA-13","003_CHANGE","DELTA-13","V-07","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1128","MODIFIED","Require independent pinned values and comparator/prose consistency checks, while acknowledging existing core/calendar and shared-helper coverage.","The blanket claim of no core coverage and no failing test under a shared-helper regression is too broad; precise remaining coverage gaps survive.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"DELTA-14","003_CHANGE","DELTA-14","V-08","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1175","MODIFIED","Apply declustering across versions that preserve the same economic definition; keep materially changed definitions in separate, nonpooled records with an explicit transition policy.","Version-only cooldown reset is a defect, but indiscriminately pooling different definitions is also invalid.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"DELTA-15","003_CHANGE","DELTA-15","V-09","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1208","ACCEPTED","Specify tier-aware source failures, explicit unavailable indicators and retained valid observations, with no silent fallback.","A missing context feed should not automatically erase independently valid diagnostics; future implementation must preserve clear partial-failure reporting.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"DELTA-16","003_CHANGE","DELTA-16","V-09","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1248","MODIFIED","Preserve immutable successful data and failed-attempt records. A clearly labeled failure/degraded page may intentionally replace the normal page; never present stale successful data as newly healthy.","The prior failure-HTML behavior was documented as intentional. Page replacement is not inherently a durability defect; distinguish data preservation from interface policy.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"DELTA-17","003_CHANGE","DELTA-17","V-14","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:536","ACCEPTED","Record that the historical total-return docstring promises an extension the function does not implement.","Documentation must describe actual behavior; the preserved source remains unchanged.","APPLIED_BY_FINAL_SUPERSESSION","HISTORICAL_EDIT_NOT_APPLIED","research/macro/review/final/evidence/reconciliation_notes.md","2026-09-20"
"WD-01","003_CHANGE","WD-01","C-01","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:615","ACCEPTED","Retire 82.14% as a corpus truth probability. Show the 2553-row ledger,1430 fact-verdict rows and 1058-row eligible headline denominator explicitly.","The percentage summarizes selected labels and excludes large classes of propositions.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-02","003_CHANGE","WD-02","C-02","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:638","ACCEPTED","Replace 'never examined' with the documented unresolved-claim taxonomy, distinguishing public evidence gaps, commercial evidence and insufficient operational definitions.","Unverifiable is neither unexamined nor false.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-03","003_CHANGE","WD-03","C-03;C-09","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:661","MODIFIED","Withdraw a definitive channel ranking while reporting the observed conditional direction and the incomplete-bootstrap and selection limitations.","The successful 862 of 1500 bootstrap draws are not an unqualified full-bootstrap interval; missing public and paid material prevents a channel-wide ranking.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-04","003_CHANGE","WD-04","D-06","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:688","ACCEPTED","Withdraw the five specified CPI-dependent rebuttals as reliable corrections of the speakers.","The study's own calendar error supplied several asserted discrepancies; this does not automatically validate every surrounding proposition.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-05","003_CHANGE","WD-05","D-10;D-11","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:719","ACCEPTED","Withdraw the positive core-acceleration reading; retain the positive headline-minus-core gap as descriptive supply-shock evidence.","The corrected core acceleration changes sign while the gap remains above the declared threshold; neither statistic alone identifies causation.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-06","003_CHANGE","WD-06","P-01","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:738","ACCEPTED","Withdraw the accusation that headline CPI never printed 2.4% in early 2026.","January 2.391% and February 2.434% both round to 2.4%; core CPI is a separate series.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-07","003_CHANGE","WD-07","P-02","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:760","ACCEPTED","Correct the supporting historical month: August 2024 is 2.607%; September 2024 is 2.426%.","The original detail contains an independent one-month error.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-08","003_CHANGE","WD-08","P-03;P-04","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:775","MODIFIED","Retire 98.6% as a matched rival-forecaster result. Report the row-object always-up calculation with mapped-series coverage and denominator limits.","A valid benchmark must match object, window, scoring rule and availability; unmapped series cannot silently become valid benchmark observations.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-09","003_CHANGE","WD-09","A-02","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:800","MODIFIED","Replace the unsupported original expanding-rank robustness claim with the archived reproduced check; do not say Review 003 was the first study to examine expanding ranks.","Absence of an original implementation supports 'not substantiated by archived code', not certainty about every unrecorded action; Review 002 already computed expanding variants.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/evidence/quantitative_completion.md","2026-09-20"
"WD-10","003_CHANGE","WD-10","A-04","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:822","MODIFIED","Withdraw 'nothing else, ever'; show 11 full-sample versus 35 expanding-rank months in the reproduced relaxed screen.","The uniqueness claim fails under the alternate ranking convention; do not assert this is the only possible conclusion affected elsewhere.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/evidence/quantitative_completion.md","2026-09-20"
"WD-11","003_CHANGE","WD-11","A-06;A-07;A-08;A-10;A-11","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:842","MODIFIED","Replace the difference-of-medians claim with paired statistics, keeping the 253 overlapping PPI starts separate from 13 analog episodes. Report annualized attenuation without inferring a tactical investment rule.","A lower annualized excess does not show that a cumulative edge disappears or establish 'a trade, not an allocation'.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-12","003_CHANGE","WD-12","R-01","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:874","MODIFIED","Withdraw the 14%-versus 42% rebuttal. The Chicago Fed paper verifies$849 bn as 14% of insurer balance sheets; it does not identify 42% as a share of a consistently defined private-credit market.","The primary denominator can now be checked; source absence is no longer the reason to leave the market-share comparison unresolved.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-13","003_CHANGE","WD-13","R-08","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:902","ACCEPTED","Withdraw the 0 of 7 base-rate invocation for the current episode unless the bill series and qualifying rule match.","Monthly TB3MS and daily DGS3MO yield different current classifications; the difference must not be hidden by a generic policy label.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/INDICATOR_CONTRACT.csv","2026-09-20"
"WD-14","003_CHANGE","WD-14","A-05","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:922","MODIFIED","Label original full-sample base rates as diagnostic and carry completed expanding component analyses plus the new joint-pool completion explicitly.","Do not present already completed energy/calm-credit checks as wholly unperformed; remaining uncertainty concerns specification and small dependent samples.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/evidence/quantitative_completion.md","2026-09-20"
"WD-15","003_CHANGE","WD-15","A-12;A-13","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:937","MODIFIED","Do not recommend an energy tilt from these studies. Compare benchmarks within the same sample: mature analog n=12 has +9.4468 pp MKT versus +2.4102 pp EW12; PPI n=253 has +10.7019 pp versus +6.5936 pp.","The source proposal's +10.70-to-+2.41 comparison changes sample and benchmark simultaneously. Selected historical medians do not establish an implementable allocation advantage.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"WD-16","003_CHANGE","WD-16","R-07","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:959","MODIFIED","Require precise phrases such as rising policy rates, narrow credit spreads and restrictive financial conditions. Do not ban the word tightening when its measured meaning is explicit.","The defect is ambiguity between price spread and financing restrictiveness, not the vocabulary itself.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"WD-17","003_CHANGE","WD-17","C-07","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:979","MODIFIED","Carry the six concrete evidence-path corrections. Separate video-date factual verification from forecast-outcome scoring over its declared later horizon.","The proposed blanket ban on post-video outcomes would make prediction scoring impossible; later evidence may also document a fact's historical state if vintage is disclosed.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"RV-01","003_CHANGE","RV-01","V-01","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1281","MODIFIED","Describe hash integrity separately from unverified preregistration chronology.","A matching end-of-run hash does not establish when conclusions were first seen and cannot by itself prove that no edit-and-revert ever occurred.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"RV-02","003_CHANGE","RV-02","V-02","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1303","ACCEPTED","Publish diagnostic recession-present-or-onset and strictly future onset records side by side for applicable indicators.","Event assignment was not fixed in the prior preregistration; denominators and zero-eligible samples must remain visible.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/INDICATOR_CONTRACT.csv","2026-09-20"
"RV-03","003_CHANGE","RV-03","V-03","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1328","ACCEPTED","Demote credit widening from review trigger to watch while retaining its archive and both event definitions.","The 2 of 2 record is coincident diagnostic evidence on two episodes; the strictly future onset sample is n=0 and its rate undefined.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/INDICATOR_CONTRACT.csv","2026-09-20"
"RV-04","003_CHANGE","RV-04","V-04","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1344","MODIFIED","Remove the unsupported selection-process assurance; disclose rankings and the absence of a contemporaneous selection record without inferring optimization.","Observed top rankings do not identify the process that produced them; less favorable alternate-target results were also published.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"RV-05","003_CHANGE","RV-05","V-05","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1367","ACCEPTED","Carry the 54-combination 162-row comparison grid and per-indicator exposure alongside selected historical results.","Many small samples and zero observed false alarms create selection risk; a zero observed rate is not proven reliability.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/INDICATOR_CONTRACT.csv","2026-09-20"
"RV-06","003_CHANGE","RV-06","V-12","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1380","ACCEPTED","Use pseudo-out-of-sample with revised vintages at the point of every historical holdout comparison.","The review already disclosed revised-data limitations broadly; the remaining correction is consistent local labeling.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLICABLE","research/macro/review/final/INDICATOR_CONTRACT.csv","2026-09-20"
"RV-07","003_CHANGE","RV-07","R-10","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:1396","MODIFIED","Use annual source/method review and a 24-month usefulness review; accumulate mature alarms honestly without automatic promotion or retirement based on a tiny sample.","Twenty alarms are impractical on a human horizon, while five alarms or ten elapsed years do not create statistical validation.","APPLIED_BY_FINAL_SUPERSESSION","DEFERRED_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"F01","FINAL_CORRECTION","C-05","C-05","research/macro/review/consolidation/evidence/R5_review_of_review.md:64-99;research/macro/review/consolidation/work/R5_contam.py:19-55","MODIFIED","The 26/72 flag is a whole-video-date/keyword exposure heuristic. Lower tagged-row agreement is descriptive; it does not prove that exposure deflated agreement or was immaterial.","All readers could encounter global instructions and no randomized unexposed control exists.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/evidence/reconciliation_notes.md","2026-09-20"
"F02","FINAL_CORRECTION","C-06","C-06","research/macro/review/phase_c/prediction_lock_receipt.json;research/macro/review/phase_c/prediction_post_lock_amendments.csv;research/macro/review/phase_c/blind_review_notes.md:9","MODIFIED","Preserve the 35 UNSCORABLE/15 PENDING/8 CANNOT_VERIFY/2 MISSlock and five disclosed primary-source amendments. Two final HITs repeat explicit scaffold verdicts; the Warsh hold shares chronology. Do not attribute the fact reader's notes to the prediction reader.","Shared provenance limits independence; it neither proves copying nor makes official outcome verification invalid.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/evidence/reconciliation_notes.md","2026-09-20"
"F03","FINAL_CORRECTION","P-06;P-07","P-06;P-07","research/macro/review/phase_c/prediction_rescore.md;research/macro/review/final/FINAL_RESEARCH.md","ACCEPTED","A prediction that recession will be absent throughout September remains OPEN/PENDING as of September 20; the endpoint is September 30 and official recession dating may lag.","An interim observation does not close an unexpired absence claim, unlike a by-deadline event that has already occurred.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"F04","FINAL_CORRECTION","R-06","R-06","research/macro/review/final/evidence/cape_scenarios.csv;research/macro/review/phase_c/quantitative_adjudication.md","MODIFIED","The 50.2978 CAPE sensitivity rewrites 38 past proxy-earnings months. It is not a forward shock result; Review 002's related 49.6591 September scenario is reproduced.","A future earnings path and a historical measurement counterfactual answer different questions.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/evidence/quantitative_completion.md","2026-09-20"
"F05","FINAL_CORRECTION","A-14","A-14","research/macro/review/final/evidence/common_screen_summary.csv;research/macro/review/final/evidence/quantitative_completion.md","MODIFIED","October 2007 is eligible in the common 684-month window and ranks first under the original expanding screen. Differing eligibility cannot explain all selection differences.","The final controlled comparison holds the candidate calendar fixed.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/evidence/quantitative_completion.md","2026-09-20"
"F06","FINAL_CORRECTION","A-05","A-05","research/macro/review/final/evidence/rich_calm_summary.csv;research/macro/review/PHASE_B_independent_regime_analysis.md","MODIFIED","Review 002 already examined expanding PPI-energy and calm-credit components. Final research completes the joint CAPE-rank>=90 and Baa-minus-Aaa-rank<=20 pool separately.","The intersection is not the same test as either component; its sample and return results belong in the quantitative evidence.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/evidence/quantitative_completion.md","2026-09-20"
"F07","FINAL_CORRECTION","R-01","R-01","https://www.chicagofed.org/publications/working-papers/2025/2025-09;research/macro/review/final/evidence/SOURCE_REGISTER.md","MODIFIED","The primary paper reports$849 bn of private credit on 2024 life-insurer balance sheets as 14% of those balance sheets. It does not verify 14% or 42% as the share of a common private-credit market universe.","The original rebuttal used an incompatible denominator; a ratio to a separate market estimate needs matching coverage and dates.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"F08","FINAL_CORRECTION","V-08","V-08","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","MODIFIED","The observed archive comprises six snapshot and two live records; it is not eight snapshots. No completed prospective alarm outcome is thereby established.","Record type, open observation month, crossing eligibility and mature horizon are separate gates.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"F09","FINAL_CORRECTION","V-07","V-07","research/macro/review/pipeline/test_monitor.py;research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","MODIFIED","Specify remaining independent pins and boundary/prose checks without claiming every core/calendar path is untested or a shared-helper regression leaves all 35 tests passing.","The shared headline helper test already detects the generic positional regression; exact coverage matters.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"F10","FINAL_CORRECTION","C-07","C-07","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:979-1018;research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","MODIFIED","Assess factual assertions using the information available at their stated date; evaluate forecasts against later observations within the declared outcome horizon. Preserve source-publication and revision dates in either case.","The literal WD-17 ban on all post-video observations would forbid legitimate forecast scoring.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"F11","FINAL_CORRECTION","R-07","R-07","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:959-977","REJECTED","Use the term only with an explicit measured concept, such as rising policy rates or more restrictive financing conditions.","Precise definitions solve the ambiguity; prohibiting a useful economic word does not.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
"F12","FINAL_CORRECTION","A-10","A-10","research/macro/review/consolidation/IMPLEMENTATION_DELTA.md:842-872;research/macro/review/final/FINAL_RESEARCH.md","REJECTED","Lower annualized paired excess at longer horizons does not establish 'a trade, not an allocation'. No executable timing rule or cost model was validated.","Correct cumulative and annualized statistics can coexist without implying a profitable trading horizon.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"F13","FINAL_CORRECTION","C-09;V-13","C-09;V-13","research/macro/review/PHASE_A_transcript_analysis.md:5-33;research/macro/review/phase_a/coverage_log.csv","MODIFIED","Use documented conditional endings and mechanism examples as qualitative evidence. Do not imply a coded prevalence rate, complete-channel coverage, no value or no skill. The captured material can generate research questions; incremental investment performance is unestablished.","The 58 public transcripts omit 50 catalogued public entries and 35 paid Jikh entries; semantic counterexamples can refute a universal crash characterization without estimating frequency.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"F14","FINAL_CORRECTION","C-04;C-08","C-04;C-08","research/macro/review/phase_c/second_reader_comparison.md:5-63","ACCEPTED","39 exact label disagreements are not 39 proven errors; nine of 13 supported-to-adverse differences mainly involve severity. Sound original calculations can remain preferable when a blind reader lacks the same source or benchmark.","No fixed subtraction from 82.14% or replacement truth probability is justified.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/FINAL_RESEARCH.md","2026-09-20"
"F15","FINAL_CORRECTION","D-07;D-09","D-07;D-09","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md;research/macro/review/final/INDICATOR_CONTRACT.csv","MODIFIED","Endpoint Yo Y requires t and t-12; declared 12-month acceleration additionally requires t-24. Path/onset/outcome statistics require their specified full path. An unrelated missing interior month is a warning rather than automatic invalidation of every endpoint metric.","A stricter-sounding global completeness rule can incorrectly discard valid observations.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/INDICATOR_CONTRACT.csv","2026-09-20"
"F16","FINAL_CORRECTION","D-02;V-09","D-02;V-09","research/macro/review/final/artifacts/task_plan.json","ACCEPTED","The final report, ledger and proposed contract supersede earlier interpretations. Historical sources, sealed judgments and existing monitor code remain unchanged; software requirements await the user's tool decision.","A written specification is not evidence that an implementation has been repaired or tested.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/evidence/reconciliation_notes.md","2026-09-20"
"F17","FINAL_CORRECTION","V-09","V-09","research/macro/review/pipeline/refresh.py;research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","MODIFIED","An explicitly labeled failed/degraded page may replace the normal dashboard to expose an error. Preserve the last-valid artifact and its date; do not call page replacement itself proof of lost data or silently show stale values as current.","The original failure-display policy was intentional; safe presentation and durable data are separate requirements.","APPLIED_BY_FINAL_SUPERSESSION","NOT_APPLIED_TO_EXISTING_SOFTWARE","research/macro/review/final/MONITORING_AND_DECISION_SPEC.md","2026-09-20"
