claim_id,channel,video_id,video_date,timestamp,claim_type,thesis_cluster,claim_text,data_cited,source_cited,input_package
AJ-20260825-26,jikh,gVksaXViB4E,2026-08-25,11:27,POLICY_FACT,OIL_ENERGY_GEOPOLITICS,"This week Bessent announced a new round of sanctions on Iran as a warning; asked why not impose them today, he said 'we are giving everyone the opportunity to remedy bad behavior... why would I want to blow up the global financial system?' and that those who don't meet US expectations 'should expect that they will leave the dollar system'.",,Scott Bessent (press conference),V4_oil_geopolitics_tariffs
BR-20260909-39,bravos,1ZS5_txbOsc,2026-09-09,14:33,DATA_POINT,TARIFFS_TRADE,"China makes up almost 30% of global manufacturing output versus the US at 17%, the Eurozone at 15% and Japan at 5%.","manufacturing share: China ~30%, US 17%, Eurozone 15%, Japan 5%",none,V4_oil_geopolitics_tariffs
BR-20260326-05,bravos,d2xewVN_eDE,2026-03-26,0:38,DATA_POINT,OIL_ENERGY_GEOPOLITICS,Oil prices remain roughly 40% higher than before the conflict erupted - the energy market has not been put at ease.,oil +40% vs pre-war,none,V4_oil_geopolitics_tariffs
AJ-20260504-11,jikh,HcjbJvpKZIU,2026-05-04,6:32,SOURCE_CITATION,DOLLAR_DEDOLLARIZATION,Luke Gromen: OPEC is only needed in a world where the reserve currency has no other anchor; with a real backing like gold you would not need a cartel to keep oil prices high enough that selling oil for dollars feels reasonable.,,Luke Gromen,V5_dollar_china_gold
AJ-20260715-54,jikh,dFjvcY9Tth0,2026-07-15,29:30,RECOMMENDATION,PRECIOUS_METALS,"This is not a video to get you to buy gold: being right on direction differs from being right on timing, so do not act on FOMO.",none,none,V5_dollar_china_gold
BR-20260827-08,bravos,cbknsJEshD8,2026-08-27,2:33,POLICY_FACT,CHINA_GOLD_MONETARY_RESET,In 1933 President Roosevelt broke the dollar's fixed tie to gold and repriced the metal overnight from around $20 to $35 per ounce.,gold $20 -> $35 (1933/34),none,V5_dollar_china_gold
BR-20260827-37,bravos,cbknsJEshD8,2026-08-27,13:43,POLICY_FACT,CHINA_GOLD_MONETARY_RESET,"Hong Kong is currently expanding its gold vault space from around 200 tons to more than 2,000 tons - 10 times its current storage capacity.","HK vault capacity 200 t -> 2,000+ t",none,V5_dollar_china_gold
AJ-20260520-27,jikh,3DYnQMmQk8k,2026-05-20,18:35,DATA_POINT,DOLLAR_DEDOLLARIZATION,"Since late March, around when the US Treasury market started showing stress, the dollar has been falling against the Chinese yuan - the yuan is getting stronger, the opposite of what a war meant to pressure China should produce.",USDCNY down since late Mar 2026,none,V5_dollar_china_gold
BR-20260707-24,bravos,J0qxWVhXd4o,2026-07-07,4:21,DATA_POINT,DOLLAR_DEDOLLARIZATION,When the dollar hit new lows in early 2026 investors speculated massively on weak-dollar assets; gold and silver made their euphoric move up and oil followed shortly after.,USD lows early 2026; gold/silver euphoric rally; oil later,none,V5_dollar_china_gold
AJ-20260825-23,jikh,gVksaXViB4E,2026-08-25,9:41,DATA_POINT,DOLLAR_DEDOLLARIZATION,Since 2014 central banks all around the world stopped buying US Treasury bonds -- the year the 'automatic bid' started going away -- and countries that spent 70 years putting savings into Treasuries are now buying gold instead.,2014; 70 years,none,V5_dollar_china_gold
AJ-20260910-41,jikh,iBxWsP8k9XM,2026-09-10,15:07,POLICY_FACT,DOLLAR_DEDOLLARIZATION,"Norway's $2.3 trillion sovereign wealth fund, the biggest in the world, just announced a huge cut to its US Treasury holdings -- about $80 billion.",$2.3T fund; -$80B Treasuries,Norway sovereign wealth fund data,V5_dollar_china_gold
AJ-20260810-29,jikh,Uw84lTiD5C8,2026-08-10,14:00,POLICY_FACT,CRYPTO,"September 1 is both the day the crypto law takes effect and the day Russia launches its central bank digital currency, the digital ruble.",Sept 1 2026,none,V6_japan_credit_crypto
AJ-20260515-14,jikh,yNHYpCLBffw,2026-05-15,14:13,SOURCE_CITATION,CRYPTO,"Christine Lagarde ('president of the European Commission' [sic]) said, direct quote: 'It is essential to swiftly adopt the regulation on the establishment of the digital euro.'",none,Christine Lagarde (ECB) clip,V6_japan_credit_crypto
AJ-20260515-05,jikh,yNHYpCLBffw,2026-05-15,3:03,POLICY_FACT,CRYPTO,"The United States passed the Genius Act, a law creating the legal framework for stablecoins (digital dollars); unlike bank cash a stablecoin can be programmed with rules on where it can be spent, on what, when it expires and whether it works outside a certain area.",none,none,V6_japan_credit_crypto
AJ-20260819-29,jikh,_YXDHskRP6Y,2026-08-19,14:51,DATA_POINT,CREDIT_BANKING,"Apollo owns life insurer Athene, which holds annuities (regular people's retirement savings); Apollo's other business is making loans, and Athene buys them -- $227 billion of Apollo's own deals are inside Athene.",$227B Apollo-originated assets in Athene,none,V6_japan_credit_crypto
AJ-20260819-27,jikh,_YXDHskRP6Y,2026-08-19,14:11,SOURCE_CITATION,CREDIT_BANKING,"According to Oliver's research, from 2009 to 2024 private-equity ownership of life insurance companies went from basically zero to more than $700 billion in assets across 134 insurers.",$0 -> $700B; 134 insurers; 2009-2024,Daniel Oliver / Myrmikan Capital,V6_japan_credit_crypto
AJ-20260612-21,jikh,dg9Ezg_RS6E,2026-06-12,15:23,POLICY_FACT,CREDIT_BANKING,"In 2021 the BIS changed how banks account for gold via the Basel III Net Stable Funding Ratio: banks now have to fund gold positions with real money, so they can no longer run the unallocated shell game at scale.","Basel III NSFR, 2021",BIS / Basel III,V6_japan_credit_crypto
AJ-20260819-17,jikh,_YXDHskRP6Y,2026-08-19,7:22,POLICY_FACT,CREDIT_BANKING,"A week ago a law firm that works on many AI securitization deals asked the SEC whether these rules apply to AI loans, and the SEC wrote back: 'the securitizations of the type you described are not asset-backed securities'.",,SEC; unnamed law firm,V6_japan_credit_crypto
AJ-20260728-49,jikh,YBhwK-VWsxY,2026-07-28,24:41,POLICY_FACT,CRYPTO,Japan is proposing to cut crypto taxes from 55% (where Japanese crypto wealth stayed offshore) to 20% to bring it onto regulated Japanese exchanges in yen and into its tax system.,tax 55% -> 20%,none,V6_japan_credit_crypto
BR-20260408-21,bravos,Nyb4yfSUlT4,2026-04-08,6:17,RECOMMENDATION,INFLATION,"That does not mean you should sell all your stocks and go to cash, because cash loses value even more rapidly when inflation picks up.",,none,V7_inflation_cycle_labor_housing
BR-20260912-20,bravos,RUH3BPQ5fTo,2026-09-12,7:13,DATA_POINT,HOUSING_REAL_ESTATE,"The credit-market warning (credit default swaps rising) began in July 2007, 6 months before the stock market started falling, eventually dropping around 60%.",CDS warning Jul-2007; 6-month lead; S&P -60%,none,V7_inflation_cycle_labor_housing
BR-20260809-06,bravos,rv4PIOsQq_g,2026-08-09,1:08,DATA_POINT,BUSINESS_CYCLE,Cash as a share of the economy is the same or higher than it was right before the last three recessions.,"MMF/GDP now >= pre-2001, pre-2008, pre-2020 levels",none,V7_inflation_cycle_labor_housing
AJ-20260720-11,jikh,hy90LdpEUvQ,2026-07-20,3:26,DATA_POINT,LABOR_CONSUMER,"South Korea has about 51 million people, 14 million of them (one in four) retail investors who call themselves 'ants'.",51M population; 14M investors (~27%),none,V7_inflation_cycle_labor_housing
BR-20260320-12,bravos,Qwvqz6K1Dyc,2026-03-20,3:08,DATA_POINT,INFLATION,The oil shock has already led to a 50% jump in gasoline prices at the pump - an immediate tax on anyone relying on gasoline for transportation.,gasoline +50%,none,V7_inflation_cycle_labor_housing
BR-20260618-08,bravos,ArL4djz-76c,2026-06-18,1:39,DATA_POINT,INFLATION,"The dollar has lost purchasing power steadily for 35 years, but since 2021 the decline has accelerated beyond the historical trend, faster than at any other moment in the last 35 years of data.","chart: purchasing power of the US dollar, 1991-2026; trend break in 2021",none,V7_inflation_cycle_labor_housing
BR-20260408-09,bravos,Nyb4yfSUlT4,2026-04-08,1:56,DATA_POINT,BUSINESS_CYCLE,"Real GDP growth has been hovering in the 2-3% range for the last few years, which is healthy by historical standards.",real GDP 2-3%,none,V7_inflation_cycle_labor_housing
AJ-20260720-05,jikh,hy90LdpEUvQ,2026-07-20,1:11,DATA_POINT,LABOR_CONSUMER,The rally was driven mostly by roughly 14 million retail investors who put savings and a huge amount of borrowed money into those two stocks.,14M retail investors,none,V7_inflation_cycle_labor_housing
AJ-20260810-23,jikh,Uw84lTiD5C8,2026-08-10,10:48,RECOMMENDATION,OTHER,Viewers can get 50% off their first CookUnity order via the link or cookunity.com/andre with code andre.,50% off first order,CookUnity (sponsor),V8_other
BR-20260813-32,bravos,4AkB4c0tTfU,2026-08-13,10:29,RECOMMENDATION,OTHER,"We have opened up as many spots as we can but they fill up fast, so do not waste time and book a call.",none,Bravos Research,V8_other
AJ-20260825-61,jikh,gVksaXViB4E,2026-08-25,30:13,RECOMMENDATION,OTHER,"To learn more and see how he is personally preparing to protect himself, watch the premium member section videos on his investment philosophy with early access (link below); it lets him take fewer sponsors.",,none,V8_other
AJ-20260902-31,jikh,NZpobX6MQVA,2026-09-02,13:13,SOURCE_CITATION,OTHER,"Whitney Webb clip: they want a system not unlike medieval feudalism -- a privileged untouchable upper class and a low class of serfs -- but with technology you don't have to worry about peasant rebellions: surveil them constantly, turn their money and access to services on and off under digital ID.",,Whitney Webb,V8_other
AJ-20260526-17,jikh,w8yTmTdF1Kw,2026-05-26,8:41,DATA_POINT,OTHER,"Sponsor claims: Kickoff credit-building app - no credit check, no interest, plans from $5/month, #1 credit-building app in the app store; users starting under 600 who paid on time saw an average +25 points in the first month and up to +86 points after the first year; 80% off first month via getkickoff.com/andre.",+25 pts month 1; +86 pts year 1; $5/mo; 80% off,Kickoff (sponsor),V8_other
BR-20260611-32,bravos,zmIhCFYlBP0,2026-06-11,10:08,RECOMMENDATION,OTHER,"For higher returns, the only option is a more aggressive allocation strategy, picking the right parts of the market or being exposed only at the right moments; that is where you hit 20, 30 or even 40% annual returns and build wealth at two to four times the pace most people achieve.",20-40% annual returns; 2-4x wealth-building pace,none,V8_other
AJ-20260515-04,jikh,yNHYpCLBffw,2026-05-15,2:39,SOURCE_CITATION,OTHER,"World ID is being integrated into Tinder, DocuSign, Zoom, Shopify and dozens of other platforms; Sam Altman has said proof of human will eventually be required by every website, app and internet transaction ('our goal is to make World ID this new proof of human for the internet').",none,Sam Altman (clip); World partnerships,V8_other
AJ-20260902-26,jikh,NZpobX6MQVA,2026-09-02,10:50,SOURCE_CITATION,OTHER,"The result of the simulation: the election got cancelled, everyone was sent home, and the government declared a state of emergency and martial law.",,Cybereason Operation Blackout,V8_other
AJ-20260504-49,jikh,HcjbJvpKZIU,2026-05-04,25:17,SELF_PERFORMANCE,EQUITY_VALUATION,"'Investors are very complacent and the stock market is being overly optimistic', so he is 'very cautious', holds more cash than usual, but is still invested in the market.",,none,V9_self_performance
BR-20260813-31,bravos,4AkB4c0tTfU,2026-08-13,10:08,SELF_PERFORMANCE,OTHER,With just one call we have helped all kinds of investors go from years of portfolio stagnation to delivering strong returns year after year.,none,Bravos Research,V9_self_performance
BR-20260629-41,bravos,OZhbi8m1Mw8,2026-06-29,7:20,SELF_PERFORMANCE,OTHER,They have already used the model to post a 468% return over the last 5 years.,"468% return, 5 years",Bravos Research,V9_self_performance
AJ-20260805-23,jikh,dlaVKt9-Tfg,2026-08-05,10:34,SELF_PERFORMANCE,OTHER,"Alpha Picks held Micron through the spring-2025 tariff selloff because earnings revisions and margins were still rising, and the stock ended 2025 up 239%.",MU +239% in 2025,Alpha Picks (Seeking Alpha) sponsor read,V9_self_performance
BR-20260909-51,bravos,1ZS5_txbOsc,2026-09-09,19:17,SELF_PERFORMANCE,OTHER,The right strategy differs by person; they offer short one-on-one strategy calls and have already helped countless investors go from no clear strategy to a concrete wealth-building plan; book via the link.,none,none,V9_self_performance
BR-20260515-34,bravos,7830S4NkFe8,2026-05-15,9:26,SELF_PERFORMANCE,OTHER,"This report is available for a one-time payment of $1.99 (as transcribed) - over a 90% discount, $1,800 in savings, zero ongoing fees and no hidden costs.","$1.99 (likely $199); >90% discount; $1,800 savings",none,V9_self_performance
BR-20260618-25,bravos,ArL4djz-76c,2026-06-18,6:57,SELF_PERFORMANCE,OTHER,These are real-world returns made with real capital.,none,none,V9_self_performance
BR-20260427-31,bravos,PN8bHAr0f1M,2026-04-27,9:19,SELF_PERFORMANCE,INFLATION,At Bravos Research we are significantly increasing our exposure to investments that can outperform significantly in that type of economic environment (natural resources).,none,none,V9_self_performance
