"claim_id","input_package","old_verdict","blind_verdict","old_group","blind_group","exact_disagreement","collapsed_disagreement","old_eligible","blind_eligible","eligibility_change","sampling_weight","comparison_type","post_unblinding_assessment","old_source","old_note","blind_source","blind_note"
"BR-20260905-03","V3_fiscal_fed_liquidity","TRUE","TRUE","supported","supported","0","0","1","1","0","27.5","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","Bloomberg 2026-08-13 'Costliest US Bond Sale Since 2001 Is Investor Warning to Bessent'; Fortune 2026-08-13 'U.S. set to pay most for 30-year debt in quarter of a century'","","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2026/R_20260813_3.pdf; https://www.publicnow.com/view/2B2E7732D93C6B6EF1FFCACF88AFFAC62F1583B9; https://squawkdeck.com/sources/us-treasury-auctions/reports/2026-08-13-30-year","Valid auction comparison, not a claim that daily secondary-market yields never exceeded this level after 2001. Direct Treasury PDF retrieval failed; CME issuer commentary and dated result mirrors corroborate the sale."
"BR-20260905-04","V3_fiscal_fed_liquidity","TRUE","MOSTLY_TRUE","supported","supported","1","0","1","1","0","27.5","context_and_precision","Both accept the 30-year auction record; blind reader qualifies the broader phrase. Same collapsed class, not a substantive reversal.","CRFB blog 2026-08-14; Fortune 2026-08-13","","review/phase_c/second_reader_data_checks.json; data/raw/; scripts/factbase.py; corpus/transcripts/bravos_2026-09-05__rwFYNlKtEc.txt @0:23-0:55; https://squawkdeck.com/sources/us-treasury-auctions/reports/2026-08-13-30-year","Read with the immediately preceding auction context, the central assertion is supported. As a stand-alone statement about every long-term borrowing yield it is too broad. Do not refute an auction record with a different constant-maturity series."
"BR-20260825-16","V3_fiscal_fed_liquidity","MOSTLY_TRUE","TRUE","supported","supported","1","0","1","1","0","27.5","added_condition","Old note emphasizes first intervention in 2010; claim says stepped in in 2011, not first. Second reader avoids inserting first. Both support central event.","ECB / Troika programme record","The ECB was one of three, and the first programme was 2010.","https://www.ecb.europa.eu/mopo/implement/app/html/index.pl.html; https://www.ecb.europa.eu/press/key/date/2011/html/sp110722.et.html","The statement says intervened in 2011, not first intervened in 2011. Ongoing 2011 intervention is true; silently adding first would create a spurious error."
"AJ-20260622-41","V3_fiscal_fed_liquidity","MOSTLY_TRUE","MOSTLY_TRUE","supported","supported","0","0","1","1","0","27.5","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","Treasury TIC via Wolf Street 2026-04-15 citing Federal Reserve research","The Fed research and the substance (offshore leveraged funds as the marginal Treasury buyer) are real; the specific '37% of all new notes and bonds since 2022' figure was not independently confirmed.","https://www.federalreserve.gov/econres/notes/feds-notes/the-cross-border-trail-of-the-treasury-basis-trade-20251015.html","Attribution and magnitude are correct. The claim omits the end date, net-versus-gross issuance and the calculation assumption; it does not show all marginal Treasury buyers are hedge funds."
"AJ-20260622-32","V3_fiscal_fed_liquidity","TRUE","MISLEADING","supported","adverse","1","1","1","1","0","27.5","checked_fragment_not_mechanism","Original verifies relief dates and labels whole row TRUE but does not test smooth/choppy causal attribution or bank-purchase magnitude. Blind adverse label concerns that untested mechanism, not the genuine regulation.","Federal Reserve 2020-04-01 interim final rule; Federal Reserve press release bcreg20251125b.htm (2025-11-25); Federal Register 2025-12-01","The 2020-21 history is accurate.","https://www.federalreserve.gov/newsevents/pressreleases/bcreg20200515a.htm; https://www.federalreserve.gov/econres/notes/feds-notes/dealers-treasury-market-intermediation-and-the-supplementary-leverage-ratio-20230803.html","Policy dates are right. Smooth while exempt/choppy on expiry treats coincident market conditions as a demonstrated SLR effect, omitting Fed purchases, reserves and other factors; hundreds of billions of bank holdings is not itself causal evidence."
"BR-20260905-21","V3_fiscal_fed_liquidity","MISLEADING","MISLEADING","adverse","adverse","0","0","1","1","0","27.5","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","FRED A091RC1Q027SBEA, FGRECPT, GS30, DGS30","Today's ratio exceeds 1975-80 but is below every year from 1981 to 1996 - i.e. below the whole period in which 'long-term rates averaged above 10%', which is the period the claim names. 'Long rates less than half' checks out (5.29 vs 11.59).","review/phase_c/second_reader_data_checks.json; data/raw/; scripts/factbase.py; FRED FYOINT, FYFR, DGS10, DGS30","The lower-rate/higher-debt burden contrast has substance. The assertion that the last comparable revenue share was late 1970s/early 1980s omits the more directly comparable 1990s and confuses a period of rising rates with the actual ratio history."
"AJ-20260407-15","V3_fiscal_fed_liquidity","TRUE","TRUE","supported","supported","0","0","1","1","0","27.5","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","FRED DGS10","","review/phase_c/second_reader_data_checks.json; data/raw/; scripts/factbase.py; FRED DGS10; verify/EVENTS_2026.md war chronology","Correct direction and starting range as of April 7. Daily closes establish the market observation, not its exclusive cause."
"AJ-20260615-03","V3_fiscal_fed_liquidity","TRUE","TRUE","supported","supported","0","0","1","1","0","27.5","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","EVENTS_2026 sec.1; federalreserve.gov other20260522a.htm","","verify/EVENTS_2026.md (permitted event scaffold); Federal Reserve FOMC calendar","This is a scheduled first-chair meeting fact available June 15, not a claim about an already completed June 17 rate decision. Event scaffold was used as instructed and is not independent of all earlier research."
"AJ-20260910-44","V4_oil_geopolitics_tariffs","MOSTLY_TRUE","MOSTLY_TRUE","supported","supported","0","0","1","1","0","20.625","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","Al Jazeera 2026-09-01; The Tribune; National Herald India","Substance correct. It was covered by Al Jazeera, the Tribune, ANI and others - thinly by the Western FINANCIAL press, which is the narrower claim he could have made.","https://chn.sectsco.org/20260901/2493835.html; https://www.fmprc.gov.cn/eng/xw/zyxw/202609/t20260901_12014119.html","The diplomatic event is supported. Picking a side is interpretation and almost no Western coverage needs a defined media sample; neither is established by the declaration itself."
"BR-20260326-04","V4_oil_geopolitics_tariffs","TRUE","TRUE","supported","supported","0","0","1","1","0","20.625","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","FRED DCOILBRENTEU / DCOILWTICO (fact base)","The -9% matches WTI almost exactly. Bravos quotes WTI throughout.","review/phase_c/second_reader_data_checks.json; data/raw/; scripts/factbase.py; FRED DCOILWTICO; verify/EVENTS_2026.md March chronology","Roughly 9% is supportable for WTI over the immediate trading interval. This was a negotiation announcement, not proof a ceasefire had already taken effect."
"AJ-20260331-19","V4_oil_geopolitics_tariffs","UNVERIFIABLE","MISLEADING","unresolved","adverse","1","1","0","1","1","20.625","new_public_evidence_and_scope","New primary METI and contemporaneous reporting corroborate country developments and contradict Russia-only implication. Old UNVERIFIABLE reflects missing sources.","EIA Today in Energy 'China's crude oil imports fell in the second quarter' (id=67905)","Individual country statements not located.","https://apnews.com/article/ea90f06d9f35fe4bb977f068d2c6ef27; https://www.meti.go.jp/english/press/2026/0320_001.html","Several real policy developments are bundled with the false exclusivity implication that Russia is the one alternative seller. Other non-Hormuz suppliers existed; interest, sanctioned waivers and executed imports are different facts."
"AJ-20260910-11","V4_oil_geopolitics_tariffs","TRUE","UNVERIFIABLE","supported","unresolved","1","1","1","0","-1","20.625","benchmark_definition","Original accepts broad normal $20-40 to about $100; blind reader requires matching benchmark/start. There is positive independent evidence of much wider cracks; this disagreement does not prove original direction false.","discoveryalert.com 'Diesel Crack Spread Shatters Records'; Forbes 2026-07-23; ZeroHedge/Jefferies; Al Jazeera 2026-09-04 'Diesel price hits all-time high in US'","From a ~$30 pre-war norm to ~$100 is a tripling or better. Correct, and among his best-supported specifics.","https://www.eia.gov/outlooks/steo/archives/sep26.pdf pp.6-7; https://www.eia.gov/outlooks/steo/archives/feb26.pdf","The stress direction is well supported. The unnamed diesel refinery rate cannot be matched to an exact pre-closure/post-closure pair. A US, Singapore or European crack and a daily/period-average ratio are not interchangeable."
"AJ-20260420-18","V4_oil_geopolitics_tariffs","MISLEADING","UNVERIFIABLE","adverse","unresolved","1","1","1","0","-1","20.625","asof_and_counterfactual_evidence","Original April 20 note invokes offsets by May, Q2 demand/import changes and June 30 price to say a future shortage did not occur. That is lookahead for an as-of fact check and mixes forecast resolution with capacity arithmetic. Blind reader leaves the exact capacity sum unresolved.","IEA, 'How global oil supplies have readjusted to help fill the huge gap left by the Strait of Hormuz shock'","The predicted shortage did not occur. Brent fell 49% to $70.46 by 06-30. The inventory of 'emergency alternatives' was radically incomplete.","https://iea.blob.core.windows.net/assets/515f3128-df1a-4d6c-beb4-fd91d2434bef/-14APR2026_OilMarketReport_Free_version1.pdf; corpus/transcripts/jikh_2026-04-20_f353QO5Dgus.txt @8:08","Capacity, incremental production, reroutable exports and Pacific transport are different quantities. Confirming the shortfall does not validate this sum. Eventual reserve exhaustion is an unresolved conditional forecast, not a completed fact."
"AJ-20260825-26","V4_oil_geopolitics_tariffs","UNVERIFIABLE","MOSTLY_TRUE","unresolved","supported","1","1","0","1","1","20.625","new_public_evidence","Treasury August 24 announcement and direct press clips were located in blind review. Old UNVERIFIABLE is a source-search miss, not necessarily an interpretive bias.","(not located in Treasury press releases for the week)","","https://home.treasury.gov/news/press-releases/sb0613; https://transcripts.cnn.com/show/cnc/date/2026-08-24/segment/09; https://truthout.org/articles/bessent-unveils-iran-sanctions-regime-he-admits-could-blow-up-global-economy/","Core announcement, timing and warning check out. The entire stitched direct quotation was not available in one official transcript, so I do not mark verbatim wording fully verified."
"BR-20260909-39","V4_oil_geopolitics_tariffs","TRUE","MOSTLY_TRUE","supported","supported","1","0","1","1","0","20.625","precision_and_geographic_scope","Both support broad manufacturing shares; blind reader does not independently reproduce exact Eurozone 15% and distinguishes EU/Eurozone. No demonstrated contradiction.","UNIDO Industrial Statistics; World Bank","All four figures are right.","https://www.unido.org/sites/default/files/unido-publications/2024-11/YB-core-2024-yearbook-pdf.pdf","The principal ranking and scale are supported. Year, current/constant dollars and Eurozone versus EU boundaries are unstated; the exact 15% Eurozone term was not independently reproduced and should not be treated as exact."
"BR-20260326-05","V4_oil_geopolitics_tariffs","TRUE","MOSTLY_TRUE","supported","supported","1","0","1","1","0","20.625","rounding_and_recording_cutoff","Both calculations show about 40% WTI rise. Difference is normal rounding and use of prior close versus video-day close.","FRED DCOILBRENTEU / DCOILWTICO (fact base)","'Roughly 40% higher' matches WTI.","review/phase_c/second_reader_data_checks.json; data/raw/; scripts/factbase.py; FRED DCOILWTICO, DCOILBRENTEU","Roughly 40% is reasonable for WTI around the video date. The crude grade and recording cut-off are missing; it is not a universal figure for all oil benchmarks."
"AJ-20260504-11","V5_dollar_china_gold","TRUE","UNVERIFIABLE","supported","unresolved","1","1","1","0","-1","26.25","wrong_underlying_fact_mapping","Original fact_key/note validate Gromen gold-import/surplus and Hamiltonian attribution dated July 15. Sample claim is May 4 OPEC necessity under gold-backed money. They are different propositions; source attribution was propagated too broadly.","Luke Gromen/FFTT; Gromen on X re Bessent's Hamiltonian remarks","Attribution is accurate; what is misattributed is the status of the number as a forecast.","corpus/transcripts/jikh_2026-05-04_HcjbJvpKZIU.txt @6:32; searches of Luke Gromen/OPEC/gold material","This is a counterfactual economic mechanism, not an observable necessity theorem. OPEC existence and oil price history cannot prove that a gold-backed reserve currency removes every reason for a cartel."
"AJ-20260715-54","V5_dollar_china_gold","UNVERIFIABLE","UNVERIFIABLE","unresolved","unresolved","0","0","0","0","0","26.25","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","n/a","Notable as a disclosure: on 2026-06-15 and 2026-07-15 Jikh explicitly says he is NOT buying and warns against FOMO, which is inconsistent in tone with the urgency of the surrounding monetary-reset framing.","corpus/transcripts/jikh_2026-07-15_dFjvcY9Tth0.txt @29:30","Normative advice and declared intent have no factual outcome to adjudicate. The transcript verifies the utterance but should not create a confirmed-fact hit."
"BR-20260827-08","V5_dollar_china_gold","MOSTLY_TRUE","FALSE","supported","adverse","1","1","1","1","0","26.25","policy_date_threshold","Both identify January 1934 versus 1933. Original calls it a minor detail; blind reader follows exact policy-date convention. This is severity, not disputed chronology.","Gold Reserve Act of 1934; Executive Order 6102 (1933)","Year off by one and the repricing was a staged process from October 1933 to January 1934, not overnight.","https://www.federalreservehistory.org/essays/gold-reserve-act","The explicit policy date fuses two separate steps. The economic magnitude is roughly right, but 1933 overnight repricing is contradicted by the official chronology."
"BR-20260827-37","V5_dollar_china_gold","TRUE","MOSTLY_TRUE","supported","supported","1","0","1","1","0","26.25","plan_vs_execution_precision","Both describe a three-year plan, not completed capacity. Same supported group; the wording currently expanding is compatible with a program already underway.","Global Times 2026-01 'HK to test gold central clearing system in 2026, expand gold storage capacity to over 2,000 tons in 3 years'; Caixin 2026-01-27","It is a three-year plan, not completed capacity; both channels present it as under way.","https://www.info.gov.hk/gia/general/202605/27/P2026052600503.htm; https://www.news.gov.hk/eng/2026/05/20260507/20260507_131930_158.html","The target scale is right and currently expanding can describe an active program. It should not be read as already completed 2,000-tonne storage; timing and multiple operators matter."
"AJ-20260520-27","V5_dollar_china_gold","TRUE","TRENDING","supported","supported","1","0","1","1","0","26.25","trend_vs_completed_label","Same measured yuan appreciation, TRUE versus TRENDING. Original uses later September values, but pre-video values already suffice; no change to supported class.","FRED DEXCHUS","","review/phase_c/second_reader_data_checks.json; data/raw/; scripts/factbase.py; FRED DEXCHUS","The ongoing currency direction was correct as of the video. The claimed US purpose of the war and why the yuan moved remain interpretations, not established by the exchange rate."
"BR-20260707-24","V5_dollar_china_gold","MOSTLY_TRUE","MOSTLY_TRUE","supported","supported","0","0","1","1","0","26.25","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","FRED DTWEXBGS; fb.gold_monthly(); EVENTS_2026 s.2","The sequence is right. The causal ordering (weak dollar caused the metals move) is not: the oil leg was a supply shock.","review/phase_c/second_reader_data_checks.json; data/raw/; scripts/factbase.py; FRED DTWEXBGS, DCOILBRENTEU; World Bank monthly gold","The broad chronology is supported. Massive speculative flows, silver-specific magnitude and a causal chain from dollar to metals to oil were not established by these price series."
"AJ-20260825-23","V5_dollar_china_gold","MISLEADING","FALSE","adverse","adverse","1","0","1","1","0","26.25","universal_vs_aggregate_scope","Both reject broad disappearance of Treasury demand. Blind reader tests all central banks stopped buying, while original emphasizes roughly flat aggregate official holdings. FALSE/MISLEADING boundary rather than support reversal.","FRED FDHBFIN; US Treasury TIC; Axios 2026-09-18 ('private investors increasingly filling the gap')","The narrow claim about the official sector is true and Jikh's $4.1T->$3.9T figures are accurate. The rhetorical use - 'the world stopped funding America', 'the automatic bid went away' - is contradicted by total foreign holdings at a record. Private foreign demand replaced official demand; the aggregate bid grew by $3.1 trillion.","https://www.stlouisfed.org/publications/regional-economist/first_quarter_2017/after-years-of-decline-yields-on-us-treasuries-rise; https://www.federalreserve.gov/econres/notes/feds-notes/estimating-u-s-cross-border-securities-flows-ten-years-of-the-tic-slt-20220218.html; https://fred.stlouisfed.org/series/BOGZ1FU263061130Q","Central-bank diversification and a diminished aggregate bid are not equivalent to all central banks stopping Treasury purchases in 2014. The universal claim is contradicted; official foreign holders also are not exactly the central-bank universe."
"AJ-20260910-41","V5_dollar_china_gold","MOSTLY_TRUE","MISLEADING","supported","adverse","1","1","1","1","0","26.25","same_evidence_severity","Both know this was a proposal and distinguish it from executed sales. Whether announced a cut implies execution is interpretive; do not count this as independently proven original error.","CNBC 2026-09-04; Seeking Alpha; Fortune 2026-09-04; BNN Bloomberg 2026-09-04","$80bn and the date are right; it is a proposal under consideration, not an executed cut, and the fund is ~$2.0T not $2.3T. The proposal is to rotate into other US debt (e.g. MBS), not out of US assets.","https://www.nbim.no/en/news-and-insights/submissions-to-ministry/2026/the-government-pension-fund-global--analyses-and-assessments-of-the-investment-strategy-for-bonds/; https://www.reuters.com/business/norways-2-trillion-sovereign-fund-proposes-deep-cuts-us-treasury-holdings-2026-09-04/","An advisory benchmark proposal is presented as the fund already announcing an executed Treasury cut. The letter does not establish completed sales, anti-dollar motivation or an $80B transaction."
"AJ-20260810-29","V6_japan_credit_crypto","TRUE","TRUE","supported","supported","0","0","1","1","0","17.125","same_label","Exact labels agree; this does not imply identical sources, denominator definitions or proof of the whole causal narrative.","Federal Law No. 282-FZ; Federal Law No. 248-FZ (2025-07-23); crypto.news 'Russia legalizes crypto, launches digital ruble on same day'","The simultaneity is real and is the sharpest observation in his Russia segment.","https://www.cbr.ru/press/event/?id=32724; https://cbr.ru/press/event/?id=25774","Both announced legal dates were known before August 10. TRUE concerns enacted schedules, not proof that every Russian user or bank had a functioning CBDC by that date. Pilot work had already existed."
